method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FPTO,0.0,22,linear,2.0,mad,50,0.1919584651070554,27.56557871338524,134.51764521390524
FPTO,1.0,22,linear,2.0,mad,50,0.1699992722674651,24.163950558326626,133.22778348427906
FPTO,0.0,33,linear,2.0,mad,50,0.1969810608502824,26.89949813497415,138.00233074131546
FPTO,1.0,33,linear,2.0,mad,50,0.1736096838131028,25.014569177963665,136.69150690767094
FPTO,0.0,44,linear,2.0,mad,50,0.1929502040722582,23.469926218584416,134.9331905398272
FPTO,1.0,44,linear,2.0,mad,50,0.1707121708743141,22.90409182832796,131.56397119201532
FPTO,0.0,55,linear,2.0,mad,50,0.186021393030372,35.71326907197978,136.54192968119995
FPTO,1.0,55,linear,2.0,mad,50,0.2078108909522148,36.16015429548623,138.43598801473902
MGDA,0.0,11,linear,2.0,mad,50,0.2173349724825733,55.210052388314175,315.1746848254316
MGDA,0.0,22,linear,2.0,mad,50,0.2186432627416997,73.5637141937412,317.2551427812693
MGDA,0.0,33,linear,2.0,mad,50,0.2179074259764629,62.59560338691704,316.6746295990024
MGDA,0.0,44,linear,2.0,mad,50,0.2164608001836376,68.9147911259868,309.5308956405013
MGDA,0.0,55,linear,2.0,mad,50,0.218729569590056,77.17909974924918,309.32896668462024
NashMTL,0.0,11,linear,2.0,mad,50,0.1731085777676093,64.42004502379719,296.6847126875932
NashMTL,0.0,22,linear,2.0,mad,50,0.1706574792176645,81.76965352906743,296.04158083463165
NashMTL,0.0,33,linear,2.0,mad,50,0.1719310992534836,75.65366274741005,311.5429930833066
NashMTL,0.0,44,linear,2.0,mad,50,0.1706828397071535,74.98675467803771,292.1381198013614
NashMTL,0.0,55,linear,2.0,mad,50,0.1719618518961327,86.6349898349294,295.7096842482986
PCGrad,0.0,11,linear,2.0,mad,50,0.2150047183394967,49.67403820463333,305.26209002627905
PCGrad,0.0,22,linear,2.0,mad,50,0.215679952755609,65.16118717605517,306.06133027402467
PCGrad,0.0,33,linear,2.0,mad,50,0.2165760029644848,62.42325138371619,313.9464159159742
PCGrad,0.0,44,linear,2.0,mad,50,0.213578143882171,64.2224549936661,300.5582419514169
PCGrad,0.0,55,linear,2.0,mad,50,0.2178041737275853,77.10321846943881,307.4084873134141
SAA,0.0,11,linear,2.0,mad,50,0.2799676349803478,46.01171050806397,246.50197799107875
SAA,0.0,22,linear,2.0,mad,50,0.277055994906764,71.91671485231049,248.0466931442711
SAA,0.0,33,linear,2.0,mad,50,0.2839504406487433,54.77579016419693,257.0805805632122
SAA,0.0,44,linear,2.0,mad,50,0.2761333487031433,54.34970351549448,245.7663625637045
SAA,0.0,55,linear,2.0,mad,50,0.2799909907042471,68.78491753027635,249.31581807065456
WDRO,0.0,11,linear,2.0,mad,50,0.177031039451271,34.04745876066586,140.46678359182172
WDRO,0.0,22,linear,2.0,mad,50,0.1717623314250707,27.90109403711504,137.09637604543943
WDRO,0.0,33,linear,2.0,mad,50,0.170633390953269,27.19355323756152,139.17383491095032
WDRO,0.0,44,linear,2.0,mad,50,0.1752087497593032,24.30242086465052,135.85191917352995
WDRO,0.0,55,linear,2.0,mad,50,0.1659390716733128,32.63152335088317,137.93512508561545
FDFL-0.1,0.0,11,log_linear,2.0,mad,50,0.1385814131309946,71.02677929442116,236.2513338860719
FDFL-0.1,1.0,11,log_linear,2.0,mad,50,0.1416621466979878,169.25961198244465,302.77707585584943
FDFL-0.1,0.0,22,log_linear,2.0,mad,50,0.1341851595235976,145.1528851346321,251.90029029947297
FDFL-0.1,1.0,22,log_linear,2.0,mad,50,0.137783144485186,171.88267934185484,286.9661270699284
FDFL-0.1,0.0,33,log_linear,2.0,mad,50,0.1341338505863961,92.94005803500843,451.91545425843975
FDFL-0.1,1.0,33,log_linear,2.0,mad,50,0.1381728184058776,91.5091696711366,689.0756322360243
