method,lambda,seed,cap,alpha,imbalance,n_groups,test_regret_normalized,test_fairness,test_pred_mse
FDFL-Scal,0.0,55,linear,2.0,0.4,2.0,0.2648585456659472,0.3430910344038914,3.046967200295699
FDFL-Scal,1.0,55,linear,2.0,0.4,2.0,0.2649521970123327,0.3366396055888742,3.0129599948865406
FDFL,0.0,11,linear,2.0,0.4,2.0,0.3489199846310663,0.3046333706313626,3.6165141913396943
FDFL,1.0,11,linear,2.0,0.4,2.0,0.3490555448419434,0.3037854938022694,3.607456935317281
FDFL,0.0,22,linear,2.0,0.4,2.0,0.2111734336396823,0.1676388142074938,0.7070929426332561
FDFL,1.0,22,linear,2.0,0.4,2.0,0.2111053733195867,0.1660197987608739,0.7033484953026615
FDFL,0.0,33,linear,2.0,0.4,2.0,0.3193444801624386,0.1428772672812321,1.5364034175220431
FDFL,1.0,33,linear,2.0,0.4,2.0,0.319174719042202,0.1422643725161178,1.5330105891115455
FDFL,0.0,44,linear,2.0,0.4,2.0,0.2201074312813479,0.6465984832525328,2.8494404430086244
FDFL,1.0,44,linear,2.0,0.4,2.0,0.2219579763828899,0.6420918403192878,2.8265121108867053
FDFL,0.0,55,linear,2.0,0.4,2.0,0.2675088167760828,0.3740474985007174,3.268073520340632
FDFL,1.0,55,linear,2.0,0.4,2.0,0.2675608540915668,0.3674412114122817,3.228026427197208
FPLG,0.0,11,linear,2.0,0.4,2.0,0.3659003028521305,0.2262355844899937,2.778563869390458
FPLG,1.0,11,linear,2.0,0.4,2.0,0.365898102012715,0.2234358854125586,2.7492862826901754
FPLG,0.0,22,linear,2.0,0.4,2.0,0.2199587917698868,0.1092296500030969,0.6274060487465486
FPLG,1.0,22,linear,2.0,0.4,2.0,0.2203794690059667,0.1006900032705735,0.6170249662617439
FPLG,0.0,33,linear,2.0,0.4,2.0,0.3119616962749545,0.1088788872538971,1.4179785459645835
FPLG,1.0,33,linear,2.0,0.4,2.0,0.3119286972850491,0.1064221539489709,1.4088786144253795
FPLG,0.0,44,linear,2.0,0.4,2.0,0.2320632267366646,0.4730268042842923,2.2178609242980936
FPLG,1.0,44,linear,2.0,0.4,2.0,0.2334690025014109,0.4624512935129686,2.1918249672973835
FPLG,0.0,55,linear,2.0,0.4,2.0,0.2961537692163883,0.2477596855990733,2.602449408182057
FPLG,1.0,55,linear,2.0,0.4,2.0,0.2955660431946383,0.2376311159370097,2.5609897410281164
FPTO,0.0,11,linear,2.0,0.4,2.0,0.3996571434121038,0.1895997908808303,2.3394339598106244
FPTO,1.0,11,linear,2.0,0.4,2.0,0.4006489741948061,0.1876982674104535,2.338985970474217
FPTO,0.0,22,linear,2.0,0.4,2.0,0.2430795451677186,0.0628727648164355,0.5630197032019463
FPTO,1.0,22,linear,2.0,0.4,2.0,0.2426713403471419,0.0573405256568931,0.5640889181551999
FPTO,0.0,33,linear,2.0,0.4,2.0,0.379328706557013,0.0941025053083409,1.1202717408273173
FPTO,1.0,33,linear,2.0,0.4,2.0,0.3814315845471577,0.0948511993743788,1.1189021716637286
FPTO,0.0,44,linear,2.0,0.4,2.0,0.3160715057470414,0.3023608071213329,1.7558901500222828
FPTO,1.0,44,linear,2.0,0.4,2.0,0.3476428725753425,0.2941558002731003,1.7573916063068442
FPTO,0.0,55,linear,2.0,0.4,2.0,0.3431064507219363,0.1862594917432666,1.9814652201934788
FPTO,1.0,55,linear,2.0,0.4,2.0,0.3474946054985619,0.1914735690850575,1.976694974749979
MGDA,0.0,11,linear,2.0,0.4,2.0,0.5756410848034659,0.3513516073930187,3.876277197757111
MGDA,0.0,22,linear,2.0,0.4,2.0,0.3643100581721994,0.1063177917397763,1.0351795077909507
MGDA,0.0,33,linear,2.0,0.4,2.0,0.4392635197900011,0.1657462416854959,1.890132342604752
MGDA,0.0,44,linear,2.0,0.4,2.0,0.4237836305762926,0.4405766951167417,2.3333392729016835
MGDA,0.0,55,linear,2.0,0.4,2.0,0.4095558281528955,0.2362641289503198,2.6446701045692778
NashMTL,0.0,11,linear,2.0,0.4,2.0,0.3725184327340226,0.1884902070111407,2.3530089235574807
NashMTL,0.0,22,linear,2.0,0.4,2.0,0.2178761107620239,0.0633041522392479,0.5494102032173924
NashMTL,0.0,33,linear,2.0,0.4,2.0,0.3123182595746897,0.0964615899193723,1.2547269887325343
NashMTL,0.0,44,linear,2.0,0.4,2.0,0.2461588422972752,0.3489933560069835,1.8815707227057537
NashMTL,0.0,55,linear,2.0,0.4,2.0,0.2969037009606999,0.1820178405887718,2.221526139959115
PCGrad,0.0,11,linear,2.0,0.4,2.0,0.3694019464184586,0.1803036230510716,2.301550153613324
